time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ADX
2019-08-26,0.049504,0.051018,0.043279,0.04455,0.07071949999999999,0.10203671109869149,0.039402288901308494,37.65595249558854,47.69736790720701,NaN,NaN,NaN,NaN,-0.003552522321796094,-0.006011963775790385,-0.0024594414539942915,23.908889065474543
2019-09-02,0.044457,0.04772,0.043426,0.046643,0.0693539,0.10232585984408574,0.03638194015591426,39.100259335114536,46.15066698398871,NaN,NaN,NaN,NaN,-0.0033433773820867275,-0.006638663181602701,-0.0032952857995159736,22.575139902869804
2019-09-09,0.046615,0.04812,0.044407,0.046578,0.06833724999999999,0.10276936580995288,0.0339051341900471,39.06998765263946,45.181542210664496,NaN,NaN,NaN,NaN,-0.003011129675178156,-0.007059197893488668,-0.004048068218310512,21.297494291906567
2019-09-16,0.0467,0.055537,0.045749,0.048976,0.06751104999999999,0.10295398690130667,0.03206811309869331,40.88822846594119,44.01377348969985,NaN,NaN,NaN,NaN,-0.002455094632893955,-0.0071169365094279555,-0.004661841876534001,20.146055290327215
2019-09-23,0.048812,0.049292,0.035,0.037458,0.06585959999999999,0.10359762505378373,0.02812157494621626,35.42071307093991,42.35894835165446,NaN,NaN,NaN,NaN,-0.0026704332524019802,-0.007999883442036476,-0.005329450189634496,19.300505640217562
2019-09-30,0.037204,0.040268,0.036,0.038879,0.06346234999999997,0.10165738431743473,0.025267315682565218,36.54801084230185,41.22919152256295,NaN,NaN,NaN,NaN,-0.002526142323173313,-0.008487128093601137,-0.005960985770427824,18.51535239368717
2019-10-07,0.03866,0.043563,0.038256,0.041126,0.061210549999999975,0.09909598147160942,0.02332511852839053,38.37974552452912,40.28588035901505,NaN,NaN,NaN,NaN,-0.002105535549264295,-0.008592905207008193,-0.006487369657743898,17.449007051041935
2019-10-14,0.040966,0.041948,0.037405,0.039594,0.05836524999999998,0.09368251178443072,0.023047988215569234,37.58312661624677,39.777975089261005,NaN,NaN,NaN,NaN,-0.0017701562692892933,-0.008700064994355515,-0.006929908725066222,16.54133486807125
2019-10-21,0.0395,0.043539,0.03527,0.042219,0.05651934999999998,0.09115353471553805,0.021885165284461917,39.885536908759484,39.45983170987081,NaN,NaN,NaN,NaN,-0.0012364524947319263,-0.00847547434348113,-0.007239021848749203,15.911833943222225
2019-10-28,0.042799,0.0448,0.040247,0.041844,0.054005699999999976,0.08505224003331145,0.022959159966688496,39.660463011288044,39.17455120387467,NaN,NaN,NaN,NaN,-0.0007950552690291143,-0.008232840935035596,-0.0074377856660064814,15.176837811772767
2019-11-04,0.041504,0.046026,0.0411,0.043933,0.05139399999999998,0.07591706167671583,0.026870938323284136,41.63627029436301,39.11303991528503,NaN,NaN,NaN,NaN,-0.0002755939563910126,-0.007782278111495247,-0.007506684155104235,14.342984431172507
2019-11-11,0.043982,0.045752,0.04,0.045007,0.04954324999999999,0.06974778733075829,0.029338712669241693,42.67555137080794,39.168612949303494,NaN,NaN,NaN,NaN,0.00020141859880645763,-0.0072549109065961626,-0.00745632950540262,13.699764486008906
2019-11-18,0.044959,0.046124,0.034251,0.035114,0.04729114999999999,0.06285225759907546,0.031730042400924516,36.26887886835241,38.89017312519535,NaN,NaN,NaN,NaN,-0.00007352808397789734,-0.007548239610374992,-0.0074747115263970945,13.756217970119883
2019-11-25,0.034789,0.042059,0.03302,0.039632,0.04616359999999999,0.06046191004559641,0.031865289954403575,40.65086198382764,38.95882760290714,NaN,NaN,NaN,NaN,0.00011446884883437036,-0.0073316254653541316,-0.007446094314188502,13.941841575725572
2019-12-02,0.039566,0.039566,0.036288,0.038677,0.045038199999999994,0.0579012056301008,0.032175194369899185,40.024412670696755,39.12800332970058,NaN,NaN,NaN,NaN,0.00023323978959092183,-0.007154544577199849,-0.007387784366790771,14.114206352359426
2019-12-09,0.03873,0.038874,0.03576,0.036474,0.04389439999999999,0.0554670997956398,0.03232170020436018,38.5486348144368,39.088601578223596,NaN,NaN,NaN,NaN,0.0002222190055786652,-0.0071100106098174395,-0.007332229615396105,14.338379653966271
2019-12-16,0.036323,0.036366,0.030427,0.034462,0.042800099999999994,0.05356639063141075,0.03203380936858924,37.19957213173343,38.95500046958745,NaN,NaN,NaN,NaN,0.00014210770239896347,-0.0071545949873974,-0.007296702689796364,15.16438792046843
2019-12-23,0.034587,0.034851,0.031666,0.034274,0.041771699999999995,0.05163171992087247,0.03191168007912752,37.06903053778532,38.68220061757632,NaN,NaN,NaN,NaN,0.0001389708938054424,-0.007122989072539561,-0.007261959966345003,15.931395596506151
2019-12-30,0.03414,0.035454,0.03229,0.034487,0.04096735,0.05044096340302637,0.03149373659697363,37.337333997138906,38.81910211230481,NaN,NaN,NaN,NaN,0.00020951878427754624,-0.00700006148599807,-0.007209580270275616,16.522008599784453
2020-01-06,0.034395,0.038588,0.034395,0.03779,0.04038585,0.04911089636721213,0.03166080363278787,41.502325370917895,39.172981721491674,NaN,NaN,NaN,NaN,0.0005192716251266561,-0.006560490738867296,-0.007079762363993952,16.44622446476916
2020-01-13,0.037738,0.046,0.036677,0.042077,0.0402622,0.04881610235155869,0.031708297648441304,46.47501533562446,39.75121527942706,NaN,NaN,NaN,NaN,0.0010243287950675497,-0.005799351370159515,-0.006823680165227065,15.420493761569546
2020-01-20,0.0421,0.0468,0.041279,0.04453,0.040156550000000006,0.048440540547435386,0.031872559452564626,49.139202280848956,40.576649255470066,NaN,NaN,NaN,NaN,0.0015059467554278932,-0.004941246720942198,-0.006447193476370091,14.589429732305623
